DefectID,Module,Route,Priority,Category,Summary,Expected,Actual,Reproduction,Status,Notes
UX-001,login,/login,P1,Security and onboarding,Default administrator credentials are prefilled in the login form,Login inputs are empty and no credential is exposed by the client,Administrator email and password are prefilled in browser-visible inputs,Open /login,Closed,"Default frontend credentials removed. Static validator passed, frontend typecheck and build passed, and founder browser re-audit confirmed that both fields are empty."
UX-002,dashboard,/dashboard,P1,Operational usability,Dashboard does not identify today's required actions or exceptions,"Dashboard prioritizes work, alerts, exceptions, approvals and quick actions",Dashboard primarily displays static totals and platform status,Login and open /dashboard,Closed,"Founder browser re-audit confirmed the operational command-centre redesign. The dashboard now surfaces priorities and exceptions, provides six quick actions, presents compact portfolio health, and separates financial position from platform readiness. The pilot blocker is removed."
UX-003,dashboard,/dashboard,P1,Navigation,Sidebar is excessively long and mixes resident and administration navigation,Navigation is grouped into clear collapsible operational domains,"Long continuously scrolling list mixes portals, operations and administration",Open /dashboard and inspect the sidebar,Closed,"Founder browser re-audit confirmed eight collapsible administrator navigation groups, resident/admin separation, automatic active-group expansion, removal of the duplicate Dashboard label, and materially reduced sidebar scrolling."
UX-004,root,/,P3,Product communication,Landing page does not communicate the platform's key differentiators,"Landing page explains supported verticals, extensibility and open-source value",Landing page provides only a short description and two administration actions,Open /,Open,Not a pilot blocker
UX-005,properties,/properties/new,P1,Layout and navigation,Sticky administration header overlays the property form while scrolling,All form labels and controls remain fully visible below the sticky application header at every scroll position,Property Type and Description content become hidden behind the sticky header,Open /properties/new and scroll through the form,Remediated - Pending Re-audit,"Long property-form routes now use a non-sticky administration header, preventing form content from passing beneath the top bar. Browser re-audit remains required."
UX-006,properties,/properties/new,P1,Form usability,Create Property is a long ungrouped form without a clear secondary action,Fields are organized into understandable sections with required-field guidance and Create and Cancel actions,All fields appear in one long card and only the primary Create Property action is visible,Open /properties/new and review the complete form,Remediated - Pending Re-audit,"Property form reorganized into Basic Information, Address and Configuration sections. Required and optional guidance, Cancel action, persistent action area, structured loading and accessible error feedback added. Browser re-audit remains required."
UX-007,properties,/properties/new,P1,Validation and error handling,Create Property request is rejected and raw backend JSON is displayed to users,Supported property fields pass backend validation and failures are presented as clear user-facing messages,Global whitelist validation rejects all undecorated DTO fields and the raw JSON response is rendered in the form,Complete /properties/new and submit,Remediated - Pending Re-audit,Create and Update Property DTOs now declare class-validator decorators compatible with the global whitelist and forbid-non-whitelisted validation contract. PropertyForm converts API failures into safe user-facing messages while retaining technical detail in the browser console. Successful browser submission remains required.
P21-W1-001,,Cross-cutting authentication,P1,Authentication,Invalid API token does not terminate browser session,,,,Open,The admin shell remains authenticated after protected API calls return 401 Invalid token. Clear the session and redirect to login.
P21-W1-002,,"/properties, /properties/[id]/zones, /properties/[id]/spaces",P1,Error handling,Raw backend error JSON is displayed to users,,,,Open,Protected pages render the full structured backend error instead of a safe user-facing message or redirect.
P21-W1-003,,/properties/[id],P1,Data binding,Property details page renders no record or failure state,,,,Open,"Only the page shell and heading render. Property data, loading, empty and safe error states are absent."
P21-W1-004,,/properties/[id]/edit,P1,Data binding,Edit Property does not populate existing values,,,,Open,"The edit form renders with empty/default fields instead of the selected Property values, creating overwrite risk."
P21-W1-005,,"/properties/new, /properties/[id]/edit",P1,Layout,Sticky Property form actions obscure form content,,,,Open,The fixed action bar overlaps fields and content while scrolling through long Property forms.
P21-W1-006,,/properties/[id]/spaces/new,P2,Usability,Create Space exposes raw Zone ID field,,,,Open,Users are expected to enter a technical Zone identifier instead of selecting a Zone by name or operational context.
