Module,RouteCount,FeatureCompleteness,UIQuality,EaseOfLearning,WorkflowSpeed,ErrorHandling,MobileUsability,AIUsefulness,OverallScore,Status,Notes
root,1,3,4,4,5,Not Reviewed,Not Reviewed,Not Applicable,3.5,Needs Polish,Clean first impression but insufficient product differentiation.
login,1,4,4,5,5,4,Not Reviewed,Not Applicable,4.5,Production Ready,Credential prefill removed and confirmed through static validation and founder browser re-audit.
dashboard,1,4.5,4.3,4.5,4.5,4.5,Covered - Browser revalidation pending,1,4.3,Production Ready,"Operational command centre accepted through founder browser re-audit. Priorities, quick actions, operating health, finance and platform readiness are clearly separated."
properties,8,,,,,,,,,Not Audited,
tenants,5,,,,,,,,,Not Audited,
leases,3,,,,,,,,,Not Audited,
rent-ledgers,4,,,,,,,,,Not Audited,
receipts,3,,,,,,,,,Not Audited,
invoices,3,,,,,,,,,Not Audited,
maintenance,3,,,,,,,,,Not Audited,
facilities,4,,,,,,,,,Not Audited,
staff,3,,,,,,,,,Not Audited,
vehicles,3,,,,,,,,,Not Audited,
visitors,3,,,,,,,,,Not Audited,
helpdesk,3,,,,,,,,,Not Audited,
communications,3,,,,,,,,,Not Audited,
procurement,24,,,,,,,,,Not Audited,
reservations,8,,,,,,,,,Not Audited,
access,6,,,,,,,,,Not Audited,
security,4,,,,,,,,,Not Audited,
notifications,1,,,,,,,,,Not Audited,
operations,1,,,,,,,,,Not Audited,
reports,3,,,,,,,,,Not Audited,
plugins,4,,,,,,,,,Not Audited,
themes,4,,,,,,,,,Not Audited,
scheduler,1,,,,,,,,,Not Audited,
workflows,1,,,,,,,,,Not Audited,
resident,16,,,,,,,,,Not Audited,
docs,2,,,,,,,,,Not Audited,
vendors,6,,,,,,,,,Not Audited,
